year	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
1900	8.337297913385555e-05	0.0009497150895185769	0.0004424476937856525	0.00031203721300698817	0.00024244663654826581	0.00020794477313756943	0.00018046796321868896	0.00013395989662967622	0.00016380276065319777	0.00010549207945587113	0.0001635290973354131	9.377819515066221e-05	0.00010806765931192786	8.140960562741384e-05	8.417532808380201e-05	9.874591341940686e-05	8.198378054657951e-05	7.195810758275911e-05	8.367124974029139e-05	6.681739614577964e-05	0.00010795208072522655	6.385182496160269e-05	6.202640361152589e-05	5.911228436161764e-05	6.61574667901732e-05	8.011062891455367e-05	5.3697902330895886e-05	5.3600218961946666e-05	5.533317744266242e-05	4.89509038743563e-05	8.296583837363869e-05	4.707626430899836e-05	3.7170651921769604e-05	3.425131581025198e-05	3.1528838007943705e-05	3.7675476050935686e-05	3.2613057555863634e-05	3.0114282708382234e-05	2.973845948872622e-05	2.8211308745085262e-05	5.171066368347965e-05	2.7824300559586845e-05	2.7317983040120453e-05	2.6636431357474066e-05	2.7604324714047834e-05	3.380241469130851e-05	2.4401630071224645e-05	2.5113753508776426e-05	2.8003263651044108e-05	2.41950765484944e-05	6.805522571085021e-05	2.3032560420688242e-05	2.2711918063578196e-05	2.256129118904937e-05	2.2376361812348478e-05	2.4731965822866186e-05	2.193864929722622e-05	2.2418866137741134e-05	2.1559842934948392e-05	2.1067693523946218e-05	4.0899798477767035e-05	2.074854273814708e-05	2.0376448446768336e-05	2.1107960492372513e-05	2.187228346883785e-05	2.3501594114350155e-05	2.1805171854794025e-05	2.0076686269021593e-05	2.0487555957515724e-05	1.9720251657417975e-05	3.0302195227704942e-05	1.9594230252550915e-05	2.012813820329029e-05	1.9621074898168445e-05	1.9398117728997022e-05	3.06660876958631e-05	1.958080792974215e-05	1.936679836944677e-05	1.9056595192523673e-05	1.8414564692648128e-05	3.211717921658419e-05	2.0164676243439317e-05	1.864050682343077e-05	1.8403379726805724e-05	1.8905968317994848e-05	2.167169441236183e-05	1.9126689949189313e-05	1.9629278540378436e-05	2.0736611986649223e-05	1.868300932983402e-05	2.8315702365944162e-05	1.7671867681201547e-05	1.7903774278238416e-05	1.826542938943021e-05	1.7170024875667877e-05	2.0428646166692488e-05	1.8310915038455278e-05	1.8207265384262428e-05	1.882543438114226e-05	1.978139698621817e-05
1901	8.613044337835163e-05	0.0009655517060309649	0.0004629051545634866	0.000326906651025638	0.00024880131240934134	0.00021442738943733275	0.0001843436766648665	0.0001374272833345458	0.00016155088087543845	0.0001080708098015748	0.00016620276437606663	9.26381180761382e-05	0.00011230892414459959	8.3352999354247e-05	8.641900058137253e-05	0.00010289702186128125	8.211944077629596e-05	7.417520828312263e-05	8.254410931840539e-05	6.635386671405286e-05	0.0001107074785977602	6.26181936240755e-05	6.229463906493038e-05	5.916718873777427e-05	6.75298651913181e-05	8.409732981817797e-05	5.430296005215496e-05	5.368307029129937e-05	5.598218194791116e-05	4.8765952669782564e-05	8.676044672029093e-05	4.6798948460491374e-05	3.9641829062020406e-05	3.452326564001851e-05	3.2903153623919934e-05	3.965816358686425e-05	3.354870932525955e-05	3.0944705940783024e-05	3.072770778089762e-05	2.9165927116991952e-05	5.542529470403679e-05	2.926314846263267e-05	2.870548087230418e-05	2.785536889859941e-05	2.8919370379298925e-05	3.476360143395141e-05	2.5894589271047153e-05	2.6586812964524142e-05	2.8897593438159674e-05	2.4928587663453072e-05	7.06860882928595e-05	2.4108030629577115e-05	2.4781587853794917e-05	2.3379252525046468e-05	2.4382587071158923e-05	2.649425732670352e-05	2.3619586499989964e-05	2.3569808035972528e-05	2.2543139493791386e-05	2.1919362552580424e-05	4.3252279283478856e-05	2.1624584405799396e-05	2.164791658287868e-05	2.2624806661042385e-05	2.3263362891157158e-05	2.4787810616544448e-05	2.1959029254503548e-05	2.0703693735413253e-05	2.1602027118206024e-05	2.0938583475071937e-05	3.14774842991028e-05	1.996169339690823e-05	2.0756582671310753e-05	1.994302510865964e-05	1.9516803149599582e-05	3.230737638659775e-05	1.948724820977077e-05	2.0376248357933946e-05	1.9630359020084143e-05	1.9071912902290933e-05	3.413515514694154e-05	2.0419027350726537e-05	1.9081246136920527e-05	1.9008914023288526e-05	1.982169305847492e-05	2.1832251150044613e-05	1.9141136363032274e-05	2.0011470041936263e-05	2.1731917513534427e-05	1.978513682843186e-05	2.953148214146495e-05	1.8098135114996694e-05	1.8095801351591945e-05	1.840691220422741e-05	1.7484466297901236e-05	2.115480492648203e-05	1.8682247173273936e-05	1.9187802536180243e-05	1.9296690879855305e-05	2.022535954893101e-05
1902	0.00010174595809075981	0.001062368624843657	0.0004783206095453352	0.0003473002288956195	0.0002655586285982281	0.00023244986368808895	0.0002037992380792275	0.00015142967458814383	0.00017737309099175036	0.0001182873675134033	0.00018245348474010825	0.00010151412425329909	0.00012355612125247717	9.15516066015698e-05	9.619275078875944e-05	0.00011311240814393386	9.201526700053364e-05	8.208477811422199e-05	9.308747394243255e-05	7.61525661800988e-05	0.00012076579150743783	7.079610804794356e-05	6.91199311404489e-05	6.513156404253095e-05	7.47333760955371e-05	8.913037891034037e-05	5.9517355111893266e-05	6.082825348130427e-05	6.0992970247752964e-05	5.4038122470956296e-05	9.3651789939031e-05	5.356378824217245e-05	4.269759665476158e-05	3.8815996958874166e-05	3.648475103545934e-05	4.338164217188023e-05	3.664413088699803e-05	3.397276668692939e-05	3.325669240439311e-05	3.2142543204827234e-05	5.845811028848402e-05	3.1638468499295413e-05	3.09414608636871e-05	3.012090928677935e-05	3.142036803183146e-05	3.7561530916718766e-05	2.729626248765271e-05	2.8143504096078686e-05	3.140435364912264e-05	2.686387233552523e-05	7.58970927563496e-05	2.6006719053839333e-05	2.6294215786037967e-05	2.536080137360841e-05	2.6588577384245582e-05	2.9138689569663256e-05	2.5517896574456245e-05	2.514346306270454e-05	2.433511326671578e-05	2.446170401526615e-05	4.733035166282207e-05	2.382036291237455e-05	2.3305612558033317e-05	2.403541475359816e-05	2.607306305435486e-05	2.740607669693418e-05	2.4184882931876928e-05	2.2478199753095396e-05	2.303870496689342e-05	2.1760599338449538e-05	3.36372249876149e-05	2.1624857254209928e-05	2.2702401111018844e-05	2.1301517335814424e-05	2.097894139296841e-05	3.2520027161808684e-05	2.1372439732658677e-05	2.201072857133113e-05	2.1507417841348797e-05	2.1395317162387073e-05	3.8836587918922305e-05	2.2185362468007952e-05	2.119094096997287e-05	2.194209628214594e-05	2.1534107872867025e-05	2.4078883143374696e-05	2.173772190872114e-05	2.306768328708131e-05	2.3881369997980073e-05	2.152267006749753e-05	3.167049726471305e-05	2.0318535462138243e-05	2.0595356545527466e-05	2.039631908701267e-05	2.015915379161015e-05	2.2895337679074146e-05	2.0750925614265725e-05	2.1039948478573933e-05	2.1563850168604404e-05	2.2408041331800632e-05
1903	0.00010431539703859016	0.0010818173177540302	0.0005173652898520231	0.00037580408388748765	0.00028092690627090633	0.0002404163096798584	0.00020899959781672806	0.00015429499035235494	0.00018506805645301938	0.00012253157910890877	0.00018593046115711331	0.00010573930194368586	0.0001288961066165939	9.741068788571283e-05	9.995444270316511e-05	0.0001176320220110938	9.44720595725812e-05	8.594126848038286e-05	9.409929771209136e-05	7.925136742414907e-05	0.00012600723130162805	7.578756049042568e-05	7.24122000974603e-05	6.80820521665737e-05	7.833526615286246e-05	9.60941833909601e-05	6.398092227755114e-05	6.403541192412376e-05	6.557541200891137e-05	5.6334640248678625e-05	9.630504791857675e-05	5.527559915208258e-05	4.3664815166266635e-05	4.10420834668912e-05	3.7663568946300074e-05	4.460540003492497e-05	3.806081076618284e-05	3.688725337269716e-05	3.576739982236177e-05	3.406945688766427e-05	6.194733578013256e-05	3.402444053790532e-05	3.1797368137631565e-05	3.168048715451732e-05	3.264555198256858e-05	3.942548210034147e-05	2.984986531373579e-05	3.049982296943199e-05	3.2305171771440655e-05	2.8548371119541116e-05	7.825549982953817e-05	2.763701013464015e-05	2.7420619517215528e-05	2.581349508545827e-05	2.7749942091759294e-05	3.0888375476934016e-05	2.7441154088592157e-05	2.6592970243655145e-05	2.7014693841920234e-05	2.6311032343073748e-05	5.0102789828088135e-05	2.5961177016142756e-05	2.5995135729317553e-05	2.6377370886621065e-05	2.7038384359912015e-05	2.8455971914809197e-05	2.6104909920832142e-05	2.3870730728958733e-05	2.4791570467641577e-05	2.2806949345977046e-05	3.46459673892241e-05	2.242629307147581e-05	2.3348711692960933e-05	2.2040900148567744e-05	2.2037740563973784e-05	3.514113632263616e-05	2.2448406525654718e-05	2.2472888304037042e-05	2.2756405087420717e-05	2.1732110326411203e-05	3.904719778802246e-05	2.3084938220563345e-05	2.1994304916006513e-05	2.201325878559146e-05	2.227308323199395e-05	2.509088153601624e-05	2.2577134586754255e-05	2.3424527171300724e-05	2.3802023861208e-05	2.1890849893679842e-05	3.2966185244731605e-05	2.0776524252141826e-05	2.069518086500466e-05	2.0729929019580595e-05	2.0912359104841016e-05	2.429719279462006e-05	2.15860090975184e-05	2.2397864086087793e-05	2.286223207192961e-05	2.360063990636263e-05
1904	9.777835657587275e-05	0.001072462648153305	0.000490647042170167	0.00035207407199777663	0.0002707289531826973	0.00023712965776212513	0.00020610736100934446	0.00015294925833586603	0.0001854322326835245	0.00012211408466100693	0.00019001634791493416	0.00010382955952081829	0.00012821011478081346	9.831837087403983e-05	0.00010061576904263347	0.00011793338489951566	9.631126886233687e-05	8.622449968243018e-05	9.796761150937527e-05	7.933872257126495e-05	0.00013031825073994696	7.519999780924991e-05	7.370374078163877e-05	6.914026016602293e-05	8.029140735743567e-05	9.525613131700084e-05	6.326977018034086e-05	6.404813757399097e-05	6.632205622736365e-05	5.903072451474145e-05	9.977336594602093e-05	5.670416067005135e-05	4.309837822802365e-05	4.021044878754765e-05	3.7350979255279526e-05	4.449289554031566e-05	3.7940091715427116e-05	3.503579864627682e-05	3.489278969937004e-05	3.290987297077663e-05	6.154085713205859e-05	3.3836939110187814e-05	3.160428968840279e-05	3.0542752938345075e-05	3.2117273804033175e-05	3.9280534110730514e-05	2.9152504794183187e-05	2.9683273169212043e-05	3.2643063605064526e-05	2.7996336939395405e-05	7.735011604381725e-05	2.785830838547554e-05	2.8126538381911814e-05	2.6315801733289845e-05	2.7244293960393406e-05	2.969821434817277e-05	2.5945828383555636e-05	2.525355012039654e-05	2.513473191356752e-05	2.4594000933575444e-05	4.8048197641037405e-05	2.3598629923071712e-05	2.4067499907687306e-05	2.4484432287863456e-05	2.6229712602798827e-05	2.7918784326175228e-05	2.530904566810932e-05	2.349190617678687e-05	2.4217624741140753e-05	2.2420405002776533e-05	3.4865752240875736e-05	2.219628731836565e-05	2.3393009541905485e-05	2.18882123590447e-05	2.1840543922735378e-05	3.243388709961437e-05	2.163990393455606e-05	2.1552390535362065e-05	2.18882123590447e-05	2.0742716515087523e-05	3.842532532871701e-05	2.2350679500959814e-05	2.0273135305615142e-05	2.0405472241691314e-05	2.1387324522947893e-05	2.4078883143374696e-05	2.187896279792767e-05	2.190244231314864e-05	2.3744483769405633e-05	2.1624962755595334e-05	3.250361260143109e-05	2.025036701525096e-05	1.9906719899154268e-05	2.0124434740864672e-05	1.976157545868773e-05	2.3545979274786077e-05	2.0454564946703613e-05	2.0471639800234698e-05	2.0769753973581828e-05	2.2364198230206966e-05
1905	0.00010075838508782908	0.0010876081651076674	0.000520408502779901	0.0003815009549725801	0.0002947572211269289	0.00025508066755719483	0.00022296422685030848	0.00016548114945180714	0.00019345269538462162	0.00012993838754482567	0.00020494752970989794	0.00010998059588018805	0.00013772939564660192	9.971790132112801e-05	0.00010533101158216596	0.00012688356218859553	0.00010236276284558699	8.99369697435759e-05	0.0001011202548397705	8.390426228288561e-05	0.00013928714906796813	7.868041575420648e-05	7.732912490610033e-05	7.327377534238622e-05	8.306433301186189e-05	9.99191906885244e-05	6.620134081458673e-05	6.753709021722898e-05	6.990887777647004e-05	6.15147509961389e-05	0.00010966238914988935	5.8804769651032984e-05	4.59253387816716e-05	4.2063875298481435e-05	4.023823203169741e-05	4.7953752073226497e-05	4.133420952712186e-05	3.636936889961362e-05	3.6371588066685945e-05	3.468432623776607e-05	6.599561311304569e-05	3.4692468034336343e-05	3.380073394509964e-05	3.328863749629818e-05	3.444307731115259e-05	4.313765748520382e-05	3.0951632652431726e-05	3.1899606256047264e-05	3.47316890838556e-05	3.0800663807895035e-05	8.305249502882361e-05	2.8716009182971902e-05	2.935613338195253e-05	2.7809475795947947e-05	2.9170385460020043e-05	3.251456655561924e-05	2.841037894540932e-05	2.725297599681653e-05	2.6788238756125793e-05	2.6328681997256353e-05	5.317464456311427e-05	2.6271700335200876e-05	2.6026751584140584e-05	2.649740781635046e-05	2.8449599994928576e-05	3.006877886946313e-05	2.7116810088045895e-05	2.586246409919113e-05	2.6343483114033006e-05	2.4540777303627692e-05	3.7962647184031084e-05	2.374820724071469e-05	2.5451750843785703e-05	2.404569931968581e-05	2.3906573915155604e-05	3.635234679677524e-05	2.4033857698668726e-05	2.4259566998807713e-05	2.4216644305852242e-05	2.2636686480836943e-05	4.176342554274015e-05	2.448379382258281e-05	2.3149525077315047e-05	2.3062943000695668e-05	2.3682345272391103e-05	2.6596571842674166e-05	2.3551359845441766e-05	2.4534116164431907e-05	2.5504292352707125e-05	2.2501262719742954e-05	3.513648334774189e-05	2.0754798242705874e-05	2.0731857148348354e-05	2.1413421563920565e-05	2.1292058590915985e-05	2.457481787132565e-05	2.1827097953064367e-05	2.2120148059912026e-05	2.276545092172455e-05	2.2826134227216244e-05
1906	0.00014945703151170164	0.001144565176218748	0.000542231893632561	0.0003920641029253602	0.00030031127971597016	0.00025751517387107015	0.00022754432575311512	0.0001654774823691696	0.00019567523850128055	0.00012918634456582367	0.00020621571457013488	0.0001108117212424986	0.00013702333671972156	9.909308573696762e-05	0.00010288310295436531	0.00012667541159316897	0.0001007093014777638	8.705091750016436e-05	0.00010314221435692161	8.20082932477817e-05	0.00014081837434787303	7.785609341226518e-05	7.541745435446501e-05	6.997757736826316e-05	8.274911670014262e-05	9.908735955832526e-05	6.607016985071823e-05	6.781092815799639e-05	6.749670137651265e-05	5.920518742641434e-05	0.00010919693886535242	5.725327355321497e-05	4.449962580110878e-05	3.976478546974249e-05	3.7879435694776475e-05	4.629693285096437e-05	4.004751463071443e-05	3.5858807677868754e-05	3.644645767053589e-05	3.440077853156254e-05	6.900555308675393e-05	3.365064912941307e-05	3.317251321277581e-05	3.294704220024869e-05	3.294417911092751e-05	4.1743180190678686e-05	3.0744609830435365e-05	3.078827285207808e-05	3.312455737614073e-05	2.996441617142409e-05	8.570955833420157e-05	2.74978610832477e-05	2.757874426606577e-05	2.6658975912141614e-05	2.7522914024302736e-05	3.0816187063464895e-05	2.768181548162829e-05	2.7528640202945098e-05	2.688444328668993e-05	2.58086365647614e-05	5.337163383956067e-05	2.5039897082024254e-05	2.5233155611203983e-05	2.5671208277344704e-05	2.6101388357346877e-05	2.8525711968541145e-05	2.4745713744778186e-05	2.4101516828523017e-05	2.574493373685982e-05	2.3097287339624017e-05	3.8041202060412616e-05	2.2755148165742867e-05	2.4581800971645862e-05	2.3236147171701305e-05	2.3606202375958674e-05	3.578580071916804e-05	2.3932594558573328e-05	2.336784928047564e-05	2.376796692260541e-05	2.291476630489342e-05	4.2138290154980496e-05	2.4097222194541246e-05	2.270575896545779e-05	2.2344294848153368e-05	2.3218253772938624e-05	2.6223069653497078e-05	2.3505994249717332e-05	2.3249747755471617e-05	2.4115832275128923e-05	2.226627475465648e-05	3.620309507823549e-05	2.114036396960728e-05	2.0912031686748378e-05	2.096356729452964e-05	2.055271397694014e-05	2.5110042770393193e-05	2.167576167266816e-05	2.1443851437652484e-05	2.212168874393683e-05	2.2382229872164316e-05
1907	0.00012377147504594177	0.0011805954854935408	0.0005711845587939024	0.00041213870281353593	0.00031763501465320587	0.00027246447280049324	0.00023973200586624444	0.00018078999710269272	0.0002048299356829375	0.00014005720731802285	0.00022054259898141026	0.00012001246068393812	0.00014554749941453338	0.00010697223478928208	0.00011359093332430348	0.00013146892888471484	0.00010733040835475549	9.533632692182437e-05	0.00010861769260372967	9.258940553991124e-05	0.00014708655362483114	8.265214273706079e-05	8.242022158810869e-05	7.553626346634701e-05	8.905948197934777e-05	0.00010765666229417548	7.046798418741673e-05	7.052826549625024e-05	7.106091652531177e-05	6.296485662460327e-05	0.00011148233897984028	6.062008469598368e-05	4.793519474333152e-05	4.492869265959598e-05	4.130869638174772e-05	4.9911865062313154e-05	4.332153912400827e-05	3.843553349724971e-05	3.844971797661856e-05	3.5869477869709954e-05	7.006229134276509e-05	3.536945951054804e-05	3.5443219530861825e-05	3.489142545731738e-05	3.6352474126033485e-05	4.388113666209392e-05	3.2491330784978345e-05	3.227430352126248e-05	3.590848427847959e-05	3.115227445960045e-05	8.882685506250709e-05	2.9240851290524006e-05	2.89642448478844e-05	2.807910459523555e-05	2.9433766030706465e-05	3.24076390825212e-05	3.017351082235109e-05	2.8989068596274592e-05	2.841032255673781e-05	2.7639371182885952e-05	5.65326918149367e-05	2.757837501121685e-05	2.7064879759564064e-05	2.7103887987323105e-05	2.8285494408919476e-05	3.087283039349131e-05	2.7072681405115873e-05	2.5641420506872237e-05	2.643861444084905e-05	2.497330933692865e-05	4.0661150706000626e-05	2.4740676963119768e-05	2.6762030756799504e-05	2.5193885448970832e-05	2.4789615054032765e-05	3.909158840542659e-05	2.5530778657412156e-05	2.55818431469379e-05	2.539743945817463e-05	2.332856456632726e-05	4.394142160890624e-05	2.6499610612518154e-05	2.524282353988383e-05	2.444917663524393e-05	2.471159677952528e-05	2.8480537366704084e-05	2.4762663088040426e-05	2.5125797037617303e-05	2.606058660603594e-05	2.3845606847316958e-05	3.690497760544531e-05	2.2424983399105258e-05	2.1759709852631204e-05	2.2101567083154805e-05	2.167388993257191e-05	2.6491099561098963e-05	2.276400482514873e-05	2.3098767996998504e-05	2.3737091396469623e-05	2.3649145077797584e-05
1908	0.0001304085599258542	0.001140848034992814	0.0005752030410803854	0.00041485298424959183	0.00031910318648442626	0.00027081972802989185	0.00023584411246702075	0.00017521387781016529	0.00020386965479701757	0.00013275555102154613	0.0002164859906770289	0.0001168127782875672	0.00014298326277639717	0.00010228200699202716	0.00010676924284780398	0.00013287903857417405	0.0001049147904268466	9.176569437840953e-05	0.00010469674452906474	8.705476648174226e-05	0.00014473820920102298	7.920227653812617e-05	7.878947508288547e-05	7.294597889995202e-05	8.614517719252035e-05	0.00010802107135532424	6.770581239834428e-05	6.862950976938009e-05	7.406866643577814e-05	6.194840534590185e-05	0.00011311234266031533	5.851258902112022e-05	4.8385791160399094e-05	4.4506119593279436e-05	4.2063860746566206e-05	5.1306480600032955e-05	4.385198189993389e-05	3.8894781027920544e-05	3.8582180422963575e-05	3.607923645176925e-05	7.425001967931166e-05	3.613709850469604e-05	3.5566932638175786e-05	3.506874418235384e-05	3.546743391780183e-05	4.429301407071762e-05	3.1663974368711933e-05	3.248605935368687e-05	3.652026498457417e-05	3.137395469821058e-05	9.559172758599743e-05	2.9401659048744477e-05	3.0116483685560524e-05	2.81477168755373e-05	2.9422828447422944e-05	3.256720810895786e-05	2.8512538847280666e-05	2.7619889806373976e-05	2.8007996661472134e-05	2.6845083993976004e-05	5.947015597485006e-05	2.648167355800979e-05	2.6431573132867925e-05	2.69925658358261e-05	2.85259447991848e-05	3.083554111071862e-05	2.7351035896572284e-05	2.508801298972685e-05	2.6593166694510728e-05	2.4704844690859318e-05	4.072171213920228e-05	2.4183367713703774e-05	2.547118128859438e-05	2.4130444217007607e-05	2.3706348656560294e-05	3.870990258292295e-05	2.434496309433598e-05	2.4202421627705917e-05	2.4369661332457326e-05	2.2961887225392275e-05	4.436499148141593e-05	2.4728131393203512e-05	2.4055645553744398e-05	2.3311184122576378e-05	2.3767739548929967e-05	2.722331373661291e-05	2.3687296561547555e-05	2.4167844458133914e-05	2.6356774469604716e-05	2.364213469263632e-05	3.7343761505326256e-05	2.2059359253034927e-05	2.242488699266687e-05	2.23402075789636e-05	2.242629670945462e-05	2.6314435672247782e-05	2.3139709810493514e-05	2.2494039512821473e-05	2.318487167940475e-05	2.3311184122576378e-05
1909	0.00010681503044907004	0.001081800670363009	0.0005560238496400416	0.0004045664391014725	0.00031045416835695505	0.0002710772678256035	0.00023715442512184381	0.0001749163056956604	0.00019889030954800546	0.0001368251978419721	0.00022123799135442823	0.00011912971240235493	0.00014483991253655404	0.0001053297528414987	0.00011112591164419428	0.00013403933553490788	0.00010852161358343437	9.320054232375696e-05	0.0001056032779160887	8.773479203227907e-05	0.0001482608640799299	8.180850272765383e-05	8.02328358986415e-05	7.444837683578953e-05	8.929799514589831e-05	0.00010607628792058676	6.845818279543892e-05	6.868339551147074e-05	7.132431346690282e-05	6.225291872397065e-05	0.00011390398140065372	5.8985475334338844e-05	4.8647780204191804e-05	4.478264236240648e-05	4.2151852539973333e-05	5.1942501158919185e-05	4.382648694445379e-05	3.922182440874167e-05	3.905038829543628e-05	3.6387649743119255e-05	7.222747808555141e-05	3.558344906195998e-05	3.522888437146321e-05	3.4197921195300296e-05	3.569644468370825e-05	4.484342207433656e-05	3.254588591516949e-05	3.1549989216728136e-05	3.634400854934938e-05	3.1253090128302574e-05	9.298078657593578e-05	3.0276674806373194e-05	3.0225242880987935e-05	2.9548064048867673e-05	2.9869121135561727e-05	3.455092883086763e-05	2.932129973487463e-05	2.87968559860019e-05	2.8562297302414663e-05	2.729833431658335e-05	6.0354635934345424e-05	2.7784593839896843e-05	2.755549030553084e-05	2.8952708817087114e-05	2.9858989364583977e-05	3.219599602743983e-05	2.7552374376682565e-05	2.6156714739045128e-05	2.6701420210883953e-05	2.4709624995011836e-05	4.205833829473704e-05	2.475871951901354e-05	2.639594822539948e-05	2.518107976356987e-05	2.5001849280670285e-05	3.9788348658476025e-05	2.4737679268582724e-05	2.5467068553552963e-05	2.515614323783666e-05	2.427635627100244e-05	4.482939766603522e-05	2.5384466425748542e-05	2.4853789000189863e-05	2.4125178242684342e-05	2.441818105580751e-05	2.821007183229085e-05	2.5024446586030535e-05	2.4931714506237768e-05	2.643802872626111e-05	2.3412154405377805e-05	3.882128658005968e-05	2.2883814381202683e-05	2.291108830831945e-05	2.314097037015017e-05	2.2635229470324703e-05	2.6974161301041022e-05	2.3460468582925387e-05	2.4014523660298437e-05	2.44914317590883e-05	2.4990938982227817e-05
